gameID,playerName,date,winningTeam,opposingTeam,assistedPlayerName,distance
344,Tom Hammonds,Apr 18 1998,LAL,ATL,unassisted,18
345,Antoine Walker,Apr 3 1998,BOS,DET,unassisted,19
346,Voshon Lenard,Mar 15 1998,MIA,ORL,B. Barry,26
347,David Robinson,Mar 10 1998,SAS,BRK,C. Person,0
348,Michael Finley,Feb 13 1998,DAL,IND,D. Scott,27
349,Michael Jordan,Feb 13 1998,WAS,ATL,unassisted,15
350,Antoine Walker,Jan 28 1998,BOS,WAS,C. Billups,17
351,Kenny Anderson,Jan 20 1998,POR,CLE,unassisted,20
352,Glen Rice,Dec 22 1997,CHA,TOR,unassisted,0
353,Chris Webber,Dec 20 1997,WAS,TOR,unassisted,0
354,Reggie Miller,Dec 7 1997,IND,PHO,unassisted,13
355,Rasheed Wallace,Nov 24 1997,POR,TOR,unassisted,0
356,David Robinson,Nov 11 1997,SAS,LAL,unassisted,0
357,Tim Hardaway,Nov 1 1997,MIA,WAS,unassisted,12
358,Michael Jordan,Jun 1 1997 p,WAS,UTA,unassisted,19
359,John Stockton,May 29 1997 p,UTA,HOU,B. Russell,25
360,Eddie Johnson,May 25 1997 p,HOU,UTA,M. Maloney,27
361,Shaquille O'Neal,Apr 13 1997,LAL,UTA,unassisted,10
362,Matt Geiger,Apr 5 1997,CHA,GSW,unassisted,0
363,Wayman Tisdale,Mar 2 1997,PHO,DAL,J. Kidd,0
364,John Starks,Feb 18 1997,NYK,PHO,unassisted,23
365,Michael Jordan,Feb 11 1997,WAS,CHA,S. Pippen,24
366,Jerry Stackhouse,Jan 29 1997,GSW,TOR,A. Iverson,16
367,Elliot Perry,Jan 25 1997,ATL,IND,unassisted,11
368,Reggie Miller,Dec 13 1996,IND,BOS,V. Askew,24
369,Rick Fox,Dec 11 1996,BOS,TOR,D. Radja,23
370,Voshon Lenard,Dec 10 1996,MIA,CLE,unassisted,16
371,Kenny Anderson,Nov 7 1996,POR,LAL,unassisted,15
372,Hakeem Olajuwon,Apr 13 1996,HOU,DAL,R. Horry,5
373,Vernon Maxwell,Apr 6 1996,GSW,ATL,unassisted,19
374,Mookie Blaylock,Mar 31 1996,ATL,BOS,C. Ehlo,24
375,Greg Minor,Mar 22 1996,BOS,DEN,unassisted,8
